class_weight,boosting_type,num_leaves,learning_rate,subsample_for_bin,min_child_samples,reg_alpha,reg_lambda,colsample_bytree,subsample,metric,verbose,loss,iteration
balanced,dart,105,0.010122079930054748,240000,310,0.3877551020408163,0.7959183673469387,0.6,0.6212121212121212,auc,1,0.23673891515799794,163
balanced,gbdt,123,0.022143509726932693,180000,485,0.5918367346938775,0.6530612244897959,0.6888888888888889,0.8787878787878789,auc,1,0.2368514105758398,217
balanced,gbdt,87,0.008200889007454273,100000,355,0.3877551020408163,0.9591836734693877,0.8222222222222222,0.994949494949495,auc,1,0.23687017177332237,189
,gbdt,100,0.07407036290619914,260000,285,0.4693877551020408,0.6326530612244897,0.8222222222222222,0.7828282828282829,auc,1,0.23689730812994003,63
balanced,gbdt,85,0.02126210003400329,200000,240,0.673469387755102,0.5714285714285714,0.9555555555555555,0.5050505050505051,auc,1,0.23690183337910364,400
balanced,gbdt,109,0.02867496609994534,260000,465,0.8775510204081632,0.3469387755102041,0.8666666666666667,0.8686868686868687,auc,1,0.23691447559421164,51
balanced,gbdt,92,0.021899563889224465,260000,365,0.061224489795918366,0.673469387755102,0.7777777777777778,0.8181818181818182,auc,1,0.23697546525515822,24
,goss,105,0.02473753188230597,160000,480,0.4897959183673469,0.22448979591836732,0.8666666666666667,1.0,auc,1,0.23701441766474263,59
balanced,gbdt,67,0.005245871303187837,140000,495,0.9591836734693877,0.26530612244897955,0.6888888888888889,0.5909090909090909,auc,1,0.2370354583072103,339
balanced,gbdt,144,0.10636616732547971,100000,225,0.08163265306122448,0.22448979591836732,0.7333333333333333,0.8484848484848485,auc,1,0.23704043770726235,252
balanced,gbdt,85,0.014481886418058792,260000,485,0.44897959183673464,0.44897959183673464,0.9555555555555555,0.6212121212121212,auc,1,0.23708334767739947,186
balanced,gbdt,62,0.008960842867215223,260000,180,0.4897959183673469,0.7755102040816326,0.6888888888888889,0.601010101010101,auc,1,0.23709322826262835,434
balanced,dart,43,0.008635991879143561,40000,195,0.9795918367346939,0.04081632653061224,0.6888888888888889,0.5404040404040404,auc,1,0.23709753652858956,270
,dart,43,0.0271298853416841,60000,230,0.4693877551020408,0.32653061224489793,0.7777777777777778,0.9040404040404041,auc,1,0.2371237001052171,282
balanced,gbdt,135,0.052155057104807535,80000,470,0.7959183673469387,0.24489795918367346,0.8666666666666667,0.5050505050505051,auc,1,0.2371550519352379,228
balanced,goss,66,0.008894909515131234,160000,160,0.9183673469387754,0.673469387755102,0.6888888888888889,1.0,auc,1,0.23717646486929822,290
,gbdt,78,0.021899563889224465,20000,475,0.1020408163265306,0.7142857142857142,0.8222222222222222,0.6565656565656566,auc,1,0.23718400629711045,259
,gbdt,36,0.008572448761425775,20000,215,0.8775510204081632,0.9591836734693877,0.8222222222222222,0.51010101010101,auc,1,0.2371900498680103,15
balanced,dart,38,0.02975360202281891,160000,475,0.9183673469387754,0.4693877551020408,0.9111111111111111,0.5454545454545454,auc,1,0.23721906898843548,251
balanced,gbdt,140,0.020116443522038775,100000,300,0.42857142857142855,0.36734693877551017,0.8666666666666667,0.696969696969697,auc,1,0.2372889384206157,234
balanced,dart,74,0.11622282790624151,80000,360,0.12244897959183673,0.5510204081632653,0.9111111111111111,0.9545454545454546,auc,1,0.23730357133045232,136
,goss,106,0.009683353769868812,180000,480,0.8571428571428571,0.7959183673469387,0.6888888888888889,1.0,auc,1,0.23731232242560074,152
,dart,139,0.1362225405289103,240000,230,1.0,0.6938775510204082,0.6,0.5252525252525253,auc,1,0.23732725782235653,312
,dart,134,0.02634017457899043,40000,180,0.9387755102040816,0.6326530612244897,0.7333333333333333,0.6060606060606061,auc,1,0.2373380461486827,28
balanced,gbdt,135,0.005112013431877946,180000,225,0.9183673469387754,0.7959183673469387,0.8222222222222222,0.9696969696969697,auc,1,0.23735471965377786,57
balanced,dart,128,0.014269556728872437,240000,350,0.04081632653061224,0.9183673469387754,0.6,0.5303030303030303,auc,1,0.23737591952939652,83
,dart,136,0.185077258978149,200000,395,0.12244897959183673,0.26530612244897955,0.9555555555555555,0.6818181818181819,auc,1,0.23737640732109178,351
,dart,34,0.17317576433031381,40000,290,0.16326530612244897,0.2857142857142857,0.8666666666666667,0.6868686868686869,auc,1,0.23738851436703523,239
,gbdt,35,0.09698664119932507,260000,265,0.5306122448979591,0.9183673469387754,1.0,0.8282828282828283,auc,1,0.23742288349706508,499
,gbdt,118,0.009195482186405599,160000,240,0.04081632653061224,0.22448979591836732,1.0,0.8787878787878789,auc,1,0.23747652320245682,342
,gbdt,118,0.048981732603349946,280000,230,0.8979591836734693,0.836734693877551,0.8666666666666667,0.5,auc,1,0.23747912195476406,3
balanced,dart,134,0.029534676778061552,280000,220,0.3469387755102041,0.9183673469387754,0.7333333333333333,0.6212121212121212,auc,1,0.23752193941268307,436
balanced,gbdt,104,0.04148291614861856,20000,480,0.18367346938775508,0.5510204081632653,0.9555555555555555,0.7777777777777778,auc,1,0.23752857478143852,81
balanced,dart,59,0.005544630207207856,60000,475,0.9795918367346939,0.2857142857142857,0.7777777777777778,0.6666666666666667,auc,1,0.23752895772595317,49
balanced,dart,56,0.01475174699473203,220000,210,0.5510204081632653,0.5306122448979591,0.8222222222222222,0.8838383838383839,auc,1,0.23754534892861323,138
balanced,goss,102,0.10213232309588141,40000,255,0.2040816326530612,0.8979591836734693,0.6,1.0,auc,1,0.2375891153376175,301
balanced,gbdt,112,0.032034121820294637,180000,470,0.18367346938775508,0.5510204081632653,0.7333333333333333,0.5707070707070707,auc,1,0.23761090000259033,432
,goss,48,0.005544630207207856,60000,480,0.4693877551020408,0.18367346938775508,0.9555555555555555,1.0,auc,1,0.23761344296722675,358
,dart,61,0.028887518755219454,180000,470,0.7959183673469387,0.12244897959183673,0.9555555555555555,0.7373737373737375,auc,1,0.23763580008659146,75
,dart,50,0.014112354956756064,220000,205,0.9387755102040816,0.836734693877551,0.7777777777777778,0.6060606060606061,auc,1,0.23766592374683237,135
balanced,gbdt,33,0.08975010855334152,180000,280,0.4897959183673469,0.061224489795918366,0.9111111111111111,0.7878787878787878,auc,1,0.23767550352718247,302
balanced,gbdt,31,0.02614636513157514,40000,390,0.36734693877551017,0.5102040816326531,0.6444444444444444,0.9242424242424243,auc,1,0.2378072762485477,46
,dart,112,0.10715460457131845,20000,295,0.4693877551020408,0.4693877551020408,0.8222222222222222,0.8535353535353536,auc,1,0.2378413546659407,368
,gbdt,82,0.008667939849965027,240000,220,0.0,0.04081632653061224,0.8666666666666667,0.5252525252525253,auc,1,0.2378974529536123,213
balanced,dart,41,0.008604161660966584,120000,270,0.2857142857142857,0.673469387755102,0.8666666666666667,0.5404040404040404,auc,1,0.23790017141112307,305
balanced,gbdt,71,0.005037062407420691,60000,305,0.9387755102040816,0.36734693877551017,0.6888888888888889,0.7525252525252526,auc,1,0.23794741459748603,472
balanced,gbdt,91,0.014060340162908316,180000,150,0.3061224489795918,0.8979591836734693,0.6444444444444444,0.9595959595959596,auc,1,0.23798079440746256,99
,gbdt,97,0.036996079612148326,120000,475,0.4081632653061224,0.7551020408163265,0.7333333333333333,0.5454545454545454,auc,1,0.23800977596232042,288
,dart,81,0.07974762271777591,220000,290,0.42857142857142855,0.673469387755102,1.0,0.7171717171717171,auc,1,0.23810089068520823,39
balanced,gbdt,136,0.00726005705102873,180000,230,0.673469387755102,0.4693877551020408,0.8666666666666667,0.8131313131313131,auc,1,0.23816522003722684,94
balanced,dart,138,0.021980579091407017,260000,310,0.9795918367346939,0.8979591836734693,0.8222222222222222,0.6767676767676768,auc,1,0.23817188231862763,41
,goss,81,0.04336239313022275,220000,490,0.8775510204081632,0.7959183673469387,0.8666666666666667,1.0,auc,1,0.23819478077463785,310
,gbdt,40,0.05719894474413977,140000,485,0.6326530612244897,0.5714285714285714,0.6444444444444444,0.5555555555555556,auc,1,0.23821542950170904,454
balanced,dart,43,0.009263643527850038,100000,220,0.673469387755102,0.6938775510204082,0.7333333333333333,0.8636363636363636,auc,1,0.23827492747322443,348
balanced,gbdt,102,0.033983761038311154,160000,410,0.836734693877551,0.8775510204081632,0.7777777777777778,0.9848484848484849,auc,1,0.23838136614418393,211
balanced,gbdt,68,0.009127822372082045,140000,145,0.14285714285714285,0.8571428571428571,0.6444444444444444,0.5050505050505051,auc,1,0.23839105637851543,14
balanced,goss,116,0.020796209084091227,140000,455,0.04081632653061224,0.3469387755102041,1.0,1.0,auc,1,0.23840161454565678,336
,dart,96,0.03810526748634296,160000,395,0.061224489795918366,0.836734693877551,0.7333333333333333,0.7626262626262627,auc,1,0.2384034123664278,457
,gbdt,148,0.033983761038311154,20000,355,0.673469387755102,0.4693877551020408,0.7333333333333333,0.9191919191919192,auc,1,0.23841403753484203,476
balanced,goss,114,0.005668844818808548,280000,215,0.061224489795918366,0.7551020408163265,0.6444444444444444,1.0,auc,1,0.23851795707006962,446
,goss,64,0.10213232309588141,140000,465,0.12244897959183673,0.24489795918367346,0.9111111111111111,1.0,auc,1,0.2385339591607336,4
,dart,39,0.005018496989847007,40000,280,0.02040816326530612,0.836734693877551,0.6444444444444444,0.5404040404040404,auc,1,0.23857209914483946,381
,dart,57,0.022143509726932693,140000,195,0.42857142857142855,0.8775510204081632,0.8222222222222222,0.7171717171717171,auc,1,0.23866991259333503,34
,gbdt,69,0.020415774347916988,20000,220,0.8163265306122448,0.6326530612244897,0.7777777777777778,0.6262626262626263,auc,1,0.23870313036675994,220
,gbdt,149,0.030645651529774956,60000,350,0.673469387755102,0.9387755102040816,0.7777777777777778,0.8131313131313131,auc,1,0.23871253409355575,198
,goss,32,0.013253702234594397,100000,150,1.0,0.16326530612244897,0.8222222222222222,1.0,auc,1,0.23873297172456565,248
balanced,gbdt,148,0.026049995829899114,20000,365,0.3877551020408163,0.6122448979591836,0.7777777777777778,0.9090909090909092,auc,1,0.23875357755960847,249
balanced,dart,78,0.09008212992267725,20000,485,0.36734693877551017,0.7142857142857142,0.6444444444444444,0.601010101010101,auc,1,0.23876432804002723,23
balanced,dart,148,0.005668844818808548,280000,250,0.7551020408163265,0.4081632653061224,0.6888888888888889,0.5454545454545454,auc,1,0.2387704487044422,318
,gbdt,136,0.020415774347916988,60000,415,0.1020408163265306,0.3061224489795918,0.6,0.5707070707070707,auc,1,0.23879321287756627,212
balanced,gbdt,69,0.02173842819275145,20000,330,0.5714285714285714,0.4897959183673469,0.7777777777777778,0.7171717171717171,auc,1,0.23883883401637251,202
balanced,gbdt,107,0.02733098511444611,20000,400,1.0,0.9795918367346939,0.8222222222222222,0.5858585858585859,auc,1,0.23885800563169524,62
balanced,gbdt,98,0.03323911555708387,140000,150,0.4081632653061224,0.3877551020408163,0.8222222222222222,0.9696969696969697,auc,1,0.2388626892729897,149
,dart,96,0.13176983516071486,60000,380,0.1020408163265306,0.4897959183673469,0.7777777777777778,0.8383838383838385,auc,1,0.23888467438110172,364
,goss,143,0.005443199705065208,220000,175,0.04081632653061224,0.6530612244897959,0.6888888888888889,1.0,auc,1,0.23892871552335948,232
balanced,gbdt,64,0.023232400445675372,160000,185,0.24489795918367346,0.02040816326530612,0.7777777777777778,0.893939393939394,auc,1,0.23894902616032476,44
,goss,128,0.014481886418058792,60000,155,0.9795918367346939,0.673469387755102,0.8222222222222222,1.0,auc,1,0.23897780699170335,275
,goss,113,0.05120096036007925,240000,420,0.9183673469387754,0.18367346938775508,0.6,1.0,auc,1,0.23898939568888578,347
balanced,dart,86,0.02206189400106402,120000,325,0.8571428571428571,0.3877551020408163,0.8222222222222222,0.9848484848484849,auc,1,0.23899833741527132,209
balanced,dart,97,0.019530883658574666,80000,410,0.7959183673469387,0.6530612244897959,0.7777777777777778,0.5555555555555556,auc,1,0.23902656569640235,197
,gbdt,91,0.009863796797595439,260000,150,0.1020408163265306,0.3061224489795918,0.7777777777777778,0.7121212121212122,auc,1,0.23903709835259845,474
balanced,gbdt,52,0.006693595023309685,60000,290,0.4081632653061224,0.7959183673469387,0.9111111111111111,0.6717171717171717,auc,1,0.2390642487262189,92
,goss,63,0.007759004062869183,180000,400,0.36734693877551017,0.8163265306122448,0.7777777777777778,1.0,auc,1,0.23910347390667652,162
,dart,135,0.034235665037768974,260000,355,0.04081632653061224,0.836734693877551,0.6444444444444444,0.5555555555555556,auc,1,0.23911127520971953,296
balanced,dart,101,0.18783119153687952,200000,260,0.673469387755102,0.18367346938775508,1.0,0.5858585858585859,auc,1,0.23918465506006514,33
balanced,dart,39,0.02576301385940817,20000,385,0.32653061224489793,0.9591836734693877,0.6,0.595959595959596,auc,1,0.2392281408486745,335
,gbdt,77,0.008572448761425775,40000,350,0.2040816326530612,0.061224489795918366,0.8666666666666667,0.6262626262626263,auc,1,0.23925869202749883,380
,gbdt,51,0.007932826597476558,100000,380,0.9387755102040816,0.24489795918367346,0.6,0.8585858585858586,auc,1,0.23926275079081116,399
,dart,129,0.05371872972971951,40000,205,0.3061224489795918,0.42857142857142855,0.6444444444444444,0.994949494949495,auc,1,0.23926419678481348,151
,goss,62,0.010817719303025709,240000,450,0.36734693877551017,0.14285714285714285,0.7333333333333333,1.0,auc,1,0.23927227618519087,437
,goss,63,0.0653310906134197,60000,445,0.7959183673469387,0.16326530612244897,0.9111111111111111,1.0,auc,1,0.23933682111871157,372
,goss,139,0.07138514334220704,40000,270,0.4081632653061224,0.8571428571428571,0.8666666666666667,1.0,auc,1,0.2393439709114673,363
balanced,dart,75,0.0255734511264479,240000,340,0.5102040816326531,0.1020408163265306,0.8222222222222222,0.898989898989899,auc,1,0.2393607865489702,187
balanced,dart,81,0.00540314896341784,180000,145,0.8571428571428571,0.5510204081632653,0.8666666666666667,0.6060606060606061,auc,1,0.23937106465639668,349
balanced,dart,123,0.022225427381851903,200000,405,0.4693877551020408,0.5102040816326531,0.8666666666666667,0.7878787878787878,auc,1,0.23938090599401796,431
,dart,36,0.012401415643146391,200000,470,0.3877551020408163,0.8979591836734693,1.0,0.5151515151515151,auc,1,0.23939682706640608,16
balanced,goss,41,0.022891772973308803,40000,250,0.061224489795918366,1.0,0.6,1.0,auc,1,0.23940229846325445,12
,goss,75,0.03215262878550817,220000,440,0.3469387755102041,0.16326530612244897,0.6888888888888889,1.0,auc,1,0.23940857135231886,158
,gbdt,47,0.039979065841380605,20000,450,0.6326530612244897,1.0,0.8222222222222222,0.9595959595959596,auc,1,0.2394190064501761,375
balanced,gbdt,44,0.015941177296637712,120000,370,0.8571428571428571,0.5918367346938775,0.7333333333333333,0.6515151515151515,auc,1,0.23942146699483646,350
balanced,dart,43,0.07325436052214492,80000,275,0.04081632653061224,0.6938775510204082,0.9555555555555555,0.6616161616161617,auc,1,0.2394507207598876,263
,gbdt,40,0.09591817970764478,280000,375,0.061224489795918366,0.2040816326530612,0.6,0.7676767676767677,auc,1,0.23948604697086406,324
,dart,103,0.07244734769700005,80000,355,0.5510204081632653,0.02040816326530612,0.6,0.5757575757575758,auc,1,0.23948666736340507,134
balanced,dart,110,0.036859720835735944,220000,195,0.3061224489795918,0.6122448979591836,0.7777777777777778,0.7575757575757576,auc,1,0.2394963547943364,199
,gbdt,90,0.04549470675187697,140000,195,0.14285714285714285,0.02040816326530612,0.7777777777777778,0.9292929292929293,auc,1,0.23950362597433583,308
,gbdt,139,0.04880119755222093,260000,430,0.5306122448979591,0.24489795918367346,0.6888888888888889,0.7070707070707071,auc,1,0.23952322426722195,128
balanced,dart,88,0.03658850918884146,280000,265,0.6938775510204082,0.6122448979591836,0.9555555555555555,0.5202020202020202,auc,1,0.23955050303658743,495
balanced,gbdt,68,0.06930722759417562,200000,180,0.7346938775510203,0.04081632653061224,0.8222222222222222,0.8383838383838385,auc,1,0.23955335129154354,341
,gbdt,72,0.006868866546589226,280000,320,0.7551020408163265,0.18367346938775508,0.9111111111111111,0.7121212121212122,auc,1,0.23957492962623617,182
,gbdt,138,0.014806319577609457,140000,410,0.8163265306122448,0.16326530612244897,0.7777777777777778,0.7676767676767677,auc,1,0.23958216576372882,316
balanced,gbdt,53,0.17190154729390325,20000,490,0.6122448979591836,0.2040816326530612,0.6444444444444444,0.5757575757575758,auc,1,0.23960463614047545,377
,dart,97,0.14292118324159045,160000,225,0.22448979591836732,0.3061224489795918,0.6888888888888889,0.6313131313131313,auc,1,0.23960967160853852,114
balanced,dart,87,0.008384610951889282,280000,445,0.8979591836734693,0.7755102040816326,0.6888888888888889,0.9545454545454546,auc,1,0.23962341219598104,423
balanced,dart,68,0.03824623403550541,180000,160,0.04081632653061224,0.061224489795918366,0.6,0.6818181818181819,auc,1,0.23968533931407066,416
,gbdt,67,0.12375242573427632,40000,480,0.6938775510204082,0.061224489795918366,0.9555555555555555,0.7373737373737375,auc,1,0.23968942499002832,470
balanced,dart,58,0.1392742913816653,80000,430,0.2040816326530612,0.0,0.8222222222222222,0.9090909090909092,auc,1,0.23971041180720554,462
,dart,86,0.009506211670468586,200000,390,0.5102040816326531,0.5918367346938775,0.8666666666666667,0.5303030303030303,auc,1,0.23971458747232066,95
,gbdt,112,0.008829461296754142,180000,485,0.6530612244897959,0.24489795918367346,1.0,0.8636363636363636,auc,1,0.23974026942473436,274
,gbdt,49,0.15790486901843698,260000,340,0.2040816326530612,0.3877551020408163,0.8666666666666667,0.6464646464646464,auc,1,0.23975945701944024,188
balanced,goss,119,0.031798416645683614,160000,415,0.8979591836734693,0.14285714285714285,0.8222222222222222,1.0,auc,1,0.2397651633412543,393
balanced,gbdt,90,0.006217075765108202,200000,405,0.7346938775510203,0.7755102040816326,0.7777777777777778,0.9545454545454546,auc,1,0.23977883468470318,362
,dart,88,0.061583063540367876,40000,355,0.4897959183673469,0.8979591836734693,0.6444444444444444,0.9848484848484849,auc,1,0.23977893728916322,140
,gbdt,139,0.19926284742685216,100000,260,0.673469387755102,0.0,0.6444444444444444,0.8787878787878789,auc,1,0.23978050803448991,374
balanced,gbdt,56,0.036185428799389435,240000,425,0.08163265306122448,0.3469387755102041,0.6,0.7121212121212122,auc,1,0.23979953723706493,154
balanced,goss,64,0.1466635688219004,180000,490,0.7959183673469387,0.2040816326530612,0.7777777777777778,1.0,auc,1,0.2398034149007019,112
balanced,gbdt,70,0.015941177296637712,160000,410,0.7346938775510203,0.4693877551020408,0.6888888888888889,0.9696969696969697,auc,1,0.23984340933426973,387
balanced,dart,137,0.01827493947281459,60000,445,0.26530612244897955,0.7755102040816326,0.8222222222222222,0.8282828282828283,auc,1,0.2398446481569716,353
balanced,goss,76,0.055533968216953146,80000,460,0.6122448979591836,1.0,0.8222222222222222,1.0,auc,1,0.23988324173128606,0
balanced,dart,140,0.018410402123280545,180000,320,0.26530612244897955,0.44897959183673464,0.8222222222222222,0.8333333333333334,auc,1,0.2398844990564315,352
balanced,gbdt,98,0.013752252757425896,200000,410,0.5714285714285714,0.8571428571428571,0.6888888888888889,0.7575757575757576,auc,1,0.23989104780010995,365
,gbdt,42,0.11409670959818123,200000,425,0.7755102040816326,0.5918367346938775,0.8666666666666667,0.9595959595959596,auc,1,0.23991437741912436,490
,dart,122,0.017940627495625486,180000,405,0.7551020408163265,0.5306122448979591,0.8222222222222222,0.7828282828282829,auc,1,0.23991559661802242,388
balanced,gbdt,89,0.04862132791047936,160000,410,0.3877551020408163,0.9795918367346939,0.6888888888888889,0.7222222222222222,auc,1,0.23993833612122173,191
,goss,138,0.053126932824615544,140000,450,0.673469387755102,0.673469387755102,0.6444444444444444,1.0,auc,1,0.2399586770349127,130
,dart,43,0.02206189400106402,240000,385,0.7551020408163265,0.22448979591836732,0.6,0.6111111111111112,auc,1,0.23998057019148678,67
balanced,goss,88,0.0648503883108266,100000,435,0.22448979591836732,0.6326530612244897,0.6444444444444444,1.0,auc,1,0.24000674890647755,157
balanced,dart,81,0.11970733093385101,180000,425,0.9591836734693877,0.8775510204081632,0.6444444444444444,0.8787878787878789,auc,1,0.24000879006241616,185
,dart,77,0.00847800965849652,20000,150,0.9183673469387754,0.7959183673469387,0.8666666666666667,0.51010101010101,auc,1,0.2400285969283027,451
balanced,gbdt,119,0.014643204512415313,280000,350,0.7755102040816326,0.673469387755102,0.8222222222222222,0.696969696969697,auc,1,0.2400509829226931,116
balanced,dart,134,0.04651391039898864,20000,310,0.6122448979591836,0.02040816326530612,1.0,0.9797979797979799,auc,1,0.2400672188169628,361
,gbdt,54,0.030085036356717453,220000,385,0.2857142857142857,0.5918367346938775,0.7777777777777778,0.6363636363636364,auc,1,0.24008913832550183,327
balanced,gbdt,66,0.006571145972790277,160000,375,0.0,0.32653061224489793,0.7333333333333333,0.696969696969697,auc,1,0.24014153836717167,413
,gbdt,109,0.09627301922688382,140000,180,0.16326530612244897,0.22448979591836732,0.7777777777777778,0.6717171717171717,auc,1,0.24018357816177882,286
balanced,gbdt,128,0.02920930552675974,260000,230,0.7346938775510203,0.3469387755102041,1.0,0.5353535353535354,auc,1,0.24018630727221157,396
balanced,gbdt,112,0.03448943627095857,120000,210,0.02040816326530612,0.32653061224489793,1.0,0.6717171717171717,auc,1,0.2401906197432735,485
,goss,129,0.025858321500565308,240000,440,0.5918367346938775,0.673469387755102,0.6888888888888889,1.0,auc,1,0.24021804765354815,184
,goss,144,0.03215262878550817,260000,245,0.12244897959183673,0.24489795918367346,0.7333333333333333,1.0,auc,1,0.2402690330993017,171
,goss,138,0.020116443522038775,120000,405,0.5102040816326531,0.7959183673469387,0.7333333333333333,1.0,auc,1,0.24027337192232878,373
balanced,goss,92,0.036859720835735944,200000,425,0.6530612244897959,0.7346938775510203,0.7777777777777778,1.0,auc,1,0.24029092457383538,464
balanced,dart,80,0.02614636513157514,120000,125,0.6122448979591836,0.673469387755102,0.6888888888888889,0.6717171717171717,auc,1,0.24029667687141854,64
